epoch,train_loss,valid_loss,foreground_acc,time
0,0.03539295867085457,0.03484589233994484,0.0,00:26
1,0.027698002755641937,0.05895217880606651,0.0,00:26
2,0.02239384688436985,0.03843219205737114,0.0007887679385021329,00:26
3,0.0186321958899498,0.053960107266902924,0.006522044539451599,00:26
4,0.015682201832532883,0.06295563280582428,0.0,00:26
5,0.0142672685906291,0.031224528327584267,0.09836362302303314,00:26
6,0.01539518404752016,0.04089026153087616,0.13483615219593048,00:26
7,0.013066562823951244,0.023999596014618874,0.2626858055591583,00:26
8,0.01110756490379572,0.042329881340265274,0.13678154349327087,00:26
9,0.009855558164417744,0.0280125942081213,0.2507738471031189,00:27
10,0.009162922389805317,0.03178666904568672,0.29932865500450134,00:27
11,0.008502776734530926,0.015130653977394104,0.5110399127006531,00:26
12,0.008210169151425362,0.030490929260849953,0.3029707670211792,00:26
13,0.007590442895889282,0.026590446010231972,0.3105321526527405,00:26
14,0.00725962221622467,0.016554420813918114,0.5036543011665344,00:26
15,0.007259821519255638,0.017028801143169403,0.4861808121204376,00:27
16,0.0068123238161206245,0.016606666147708893,0.5104564428329468,00:26
17,0.006646786350756884,0.01564721204340458,0.5071181058883667,00:26
18,0.006357862148433924,0.013605480082333088,0.5460616946220398,00:26
19,0.0060754199512302876,0.013267159461975098,0.5711981058120728,00:26
20,0.005807040724903345,0.015530998818576336,0.5307547450065613,00:26
21,0.005633933003991842,0.01439483743160963,0.5613715648651123,00:26
22,0.005495515186339617,0.014775644056499004,0.5676029324531555,00:26
23,0.005390322767198086,0.014151619747281075,0.5745618343353271,00:26
24,0.005441945977509022,0.013905423693358898,0.5785099864006042,00:26
